age,gpa,faminc,mayuse,attuse,attusers,streneff,athabil,wghtsat,sterknow,testknow,suppknow,peerinfo,teaminfo,coainfo,coachtol,bodyimg,esteem,impuls,rmay,rsupp,rtest
14,2.5,999,1,6.67,7,6.5,6.75,2,11,1,3,4,6,5,3,3.67,6.75,2.33,0,0,0
14,3.5,4,1,7,5,7,7,5,16,2,4,6,7,1,4.67,5,5.75,2.33,0,0,0
14,3.5,999,1,5,6.33,4.67,4.75,4,7,999,2,4,4.33,4,4,2.67,5,3.67,0,0,1
14,999,999,1.4,7,5,6.17,6,4,16,0,3,4,1.67,4,3,999,6,6,0,0,0
14,3,999,1,3.67,3,7,7,2,10,1,0,4,5,4,5,3.67,7,3,0,0,0
14,3.5,999,1,6.67,3.67,6,5,3,14,2,3,6,6,5.33,3.33,4,6,4.17,0,0,0
17,2.5,3,1,7,6,6.67,7,2,16,2,4,5.67,6.67,4.33,1,4,5.5,1.67,0,0,0
18,3.5,7,1,6,6,7,6.5,2,17,2,4,1,7,3,1,3.33,6.25,5,0,0,0
16,2.5,999,1,5.67,7,6.67,6.25,1,13,0,3,1,6.33,5.67,2.33,1,3.5,1,0,0,0
17,2,3,1,7,7,6.5,6.5,4,13,1,4,7,7,3,3,3,6,2,0,0,0
17,4,6,1,6,2.67,5.5,5.5,1,11,2,4,5.67,5.67,5,1.67,2.33,4.5,3.5,0,0,0
16,3,999,1,3,6.33,4.17,7,5,9,0,3,4,6,1,5,5,7,2.8,0,0,0
999,999,999,1,5.33,4.67,6.67,5.5,999,11,2,2,5.33,5.33,5,1.67,3.67,5,3.33,0,0,0
17,2.5,999,2.2,5.67,4,6.5,6,5,0,1,3,5,6,5.33,2.33,4,6.75,3.5,0,0,0
14,4,4,1,7,7,5.33,7,5,16,1,3,4.33,6,5.33,1,5,7,3.33,0,0,0
16,3.5,5,1,4.67,4.33,5.83,6,3,7,0,2,6,5.67,6,2,4,4.5,2.67,0,0,0
13,4,7,1,3.67,5.67,7,7,3,14,0,2,2,6,7,1,5,7,2.17,0,0,0
15,4,7,4,4,4,4,4,4,12,0,1,4,4,4,4,5,4,4,0,0,0
15,3.5,7,2.2,7,7,7,7,2,12,2,3,3.67,7,5,1,3.67,7,3.67,0,0,0
14,4,999,1,5,5.33,6.33,7,2,16,1,3,3,7,5,1,4,6.75,2.83,0,0,0
16,3.5,999,1.4,6.33,6.33,5.83,5.75,4,17,2,3,5,5.67,5.67,1,3.33,7,3,0,0,0
16,3.5,7,5,2.67,3,6.33,6,1,5,1,3,4.67,6.33,5.33,1,3.33,5.5,5,0,0,0
15,4,7,1.2,3,6.33,6,7,5,11,0,2,1,5,3,2,5,7,1,0,0,0
16,4,999,1.4,5.67,6.33,6.5,6.5,2,13,1,2,5.67,5.67,5.67,1,4,6.5,2.83,0,0,0
17,3.5,999,1,4.33,5,7,7,2,14,0,4,7,6,6,2.67,4,7,3.33,0,0,0
17,3.5,7,1,5,7,7,6.5,3,13,0,0,4,4,5,1,4.67,4,4,0,0,0
17,3.5,4,1.6,4,2,5,5.5,2,15,0,1,7,4,7,4,4,4,5,0,0,0
17,3.5,7,4,4,4,4,4,5,0,0,0,4,4,4,4,2.67,4,4,0,0,0
16,3,7,1,5,4.33,6.33,4.75,2,5,0,0,6.67,6,5.67,3,3.67,6,4.17,0,0,0
17,3,5,1,7,6,6.83,5,2,14,2,4,5,6.33,7,2.33,3.33,5,1.17,0,0,0
16,3.5,4,2.6,4.33,4.33,6,5.75,4,9,1,3,4.67,6,5,3,3.33,5.5,4.33,0,0,0
